Jurisdictional Reference,Type,Description
"The Limitation Act, 1963, Section 39, Subsection 1",land and legal,Special rules of limitation in respect of certain suits.
"The Indian Trusts Act, 1882, Section 18, Subsection 1",land and legal,Trust of immovable property.
"The Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013",land and legal,Compensation to be awarded.
"The Environment Protection Act, 1986, Section 19, Subsection 1",land and legal,Bar of jurisdiction.
"The Indian Contract Act, 1872, Section 24, Subsection 1",land and legal,Agreements void if considerations and objects unlawful in part.
"The Transfer of Property Act, 1882, Section 67, Subsection 1",land and legal,Mortgagee's right to foreclosure or sale.
"The Registration Act, 1908, Section 30, Subsection 1",land and legal,Persons entitled to present documents for registration.
"The Indian Stamp Act, 1899, Section 16, Subsection 1",land and legal,Denoting duty.
"The Land Acquisition Act, 1894, Section 17, Subsection 1",land and legal,Special powers in cases of urgency.
"The Specific Relief Act, 1963, Section 18, Subsection 1",land and legal,Persons for or against whom contracts may be specifically enforced.
"The Indian Easements Act, 1882, Section 25, Subsection 1",land and legal,Extinction by abandonment.
"The Real Estate (Regulation and Development) Act, 2016, Section 22, Subsection 1",land and legal,Powers of Real Estate Regulatory Authority to call for information.
"The Benami Transactions (Prohibition) Act, 1988, Section 16, Subsection 1",land and legal,Power of Central Government to make rules.
"The Limitation Act, 1963, Section 40, Subsection 1",land and legal,Rules of limitation in respect of certain suits.
"The Indian Trusts Act, 1882, Section 19, Subsection 1",land and legal,Creation of trust.
"The Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013",land and legal,Provisions for rehabilitation and resettlement.
"The Environment Protection Act, 1986, Section 20, Subsection 1",land and legal,Appeal to Appellate Authority.
"The Indian Contract Act, 1872, Section 25, Subsection 1",land and legal,"Agreement without consideration, void, unless it is in writing and registered, or is a promise to compensate for something done, or is a promise to pay a debt barred by limitation law."
"The Transfer of Property Act, 1882, Section 68, Subsection 1",land and legal,Rights of usufructuary mortgagor to the rents and profits.
"The Registration Act, 1908, Section 31, Subsection 1",land and legal,Presentation of documents for registration in certain cases.
"The Indian Stamp Act, 1899, Section 17, Subsection 1",land and legal,Instruments executed outside India.
"The Land Acquisition Act, 1894, Section 18, Subsection 1",land and legal,Reference to Court.
"The Specific Relief Act, 1963, Section 19, Subsection 1",land and legal,Relief against parties and persons claiming under them by subsequent title.
"The Indian Easements Act, 1882, Section 26, Subsection 1",land and legal,Extinction of easement by decree.
"The Real Estate (Regulation and Development) Act, 2016, Section 23, Subsection 1",land and legal,Functions of Authority for promotion of real estate sector.
"The Benami Transactions (Prohibition) Act, 1988, Section 17, Subsection 1",land and legal,Offences and penalties.
"The Limitation Act, 1963, Section 41, Subsection 1",land and legal,Acquisition of easements by prescription.
"The Indian Trusts Act, 1882, Section 20, Subsection 1",land and legal,Creation of trust.
"The Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013",land and legal,Procedure and manner of rehabilitation and resettlement.
"The Environment Protection Act, 1986, Section 21, Subsection 1",land and legal,"Penalty for contravention of the provisions of the act and the rules, orders, and directions."
"The Indian Contract Act, 1872, Section 26, Subsection 1",land and legal,"Agreement without consideration, void, unless it is in writing and registered, or is a promise to compensate for something done, or is a promise to pay a debt barred by limitation law."
"The Transfer of Property Act, 1882, Section 69, Subsection 1",land and legal,Rights of usufructuary mortgagor to the rents and profits.
"The Registration Act, 1908, Section 32, Subsection 1",land and legal,Presentation of documents for registration in certain cases.
"The Indian Stamp Act, 1899, Section 18, Subsection 1",land and legal,Instruments executed outside India.
"The Land Acquisition Act, 1894, Section 19, Subsection 1",land and legal,Reference to Court.
"The Specific Relief Act, 1963, Section 20, Subsection 1",land and legal,Relief against parties and persons claiming under them by subsequent title.
"The Indian Easements Act, 1882, Section 27, Subsection 1",land and legal,Extinction of easement by decree.
"The Real Estate (Regulation and Development) Act, 2016, Section 24, Subsection 1",land and legal,Functions of Authority for promotion of real estate sector.
"The Benami Transactions (Prohibition) Act, 1988, Section 18, Subsection 1",land and legal,Offences and penalties.
"The Limitation Act, 1963, Section 42, Subsection 1",land and legal,Acquisition of easements by prescription.
"The Indian Trusts Act, 1882, Section 21, Subsection 1",land and legal,Creation of trust.
"The Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013",land and legal,Procedure and manner of rehabilitation and resettlement.
"The Environment Protection Act, 1986, Section 22, Subsection 1",land and legal,"Penalty for contravention of the provisions of the act and the rules, orders, and directions."
"Information Technology Act, 2000 (IT Act), Section 43",Cybercrime,"Penalty and compensation for damage to computer, computer system, etc."
"Information Technology Act, 2000 (IT Act), Section 66",Cybercrime,"Computer-related offenses, including hacking and unauthorized access."
"Information Technology Act, 2000 (IT Act), Section 66A",Cybercrime,"Sending offensive messages through communication service, etc. (Note: This section was struck down by the Supreme Court in 2015)."
"Information Technology Act, 2000 (IT Act), Section 66B",Cybercrime,Punishment for dishonestly receiving stolen computer resource or communication device.
"Information Technology Act, 2000 (IT Act), Section 66C",Cybercrime,Punishment for identity theft.
"Information Technology Act, 2000 (IT Act), Section 66D",Cybercrime,Punishment for cheating by personation by using computer resource.
"Information Technology Act, 2000 (IT Act), Section 66E",Cybercrime,Punishment for violation of privacy.
"Information Technology Act, 2000 (IT Act), Section 66F",Cybercrime,Punishment for cyber terrorism.
"Information Technology Act, 2000 (IT Act), Section 67",Cybercrime,Punishment for publishing or transmitting obscene material in electronic form.
"Information Technology Act, 2000 (IT Act), Section 67A",Cybercrime,"Punishment for publishing or transmitting of material containing sexually explicit act, etc., in electronic form."
"Information Technology Act, 2000 (IT Act), Section 67B",Cybercrime,"Punishment for publishing or transmitting material depicting children in sexually explicit act, etc., in electronic form."
"Information Technology Act, 2000 (IT Act), Section 69",Cybercrime,Powers to issue directions for interception or monitoring or decryption of any information through any computer resource.
"Information Technology Act, 2000 (IT Act), Section 69A",Cybercrime,Power to issue directions for blocking for public access of any information through any computer resource.
"Information Technology Act, 2000 (IT Act), Section 69B",Cybercrime,Power to authorize to monitor and collect traffic data or information through any computer resource for cyber security.
"Information Technology Act, 2000 (IT Act), Section 70",Cybercrime,Protected system.
"Information Technology Act, 2000 (IT Act), Section 72",Cybercrime,Penalty for breach of confidentiality and privacy.
"Information Technology Act, 2000 (IT Act), Section 72A",Cybercrime,Punishment for disclosure of information in breach of lawful contract.
"Information Technology Act, 2000 (IT Act), Section 74",Cybercrime,Publication for fraudulent purpose.
"Indian Penal Code (IPC), 1860, Section 354D",Cybercrime,"Stalking, including cyber stalking."
"Indian Penal Code (IPC), 1860, Section 379",Cybercrime,"Punishment for theft, which can apply to data theft."
"Indian Penal Code (IPC), 1860, Section 420",Cybercrime,"Cheating and dishonestly inducing delivery of property, applicable to online frauds."
"Indian Penal Code (IPC), 1860, Section 465",Cybercrime,"Punishment for forgery, including digital documents."
"Indian Penal Code (IPC), 1860, Section 468",Cybercrime,Forgery for the purpose of cheating.
"Indian Penal Code (IPC), 1860, Section 469",Cybercrime,Forgery for purpose of harming reputation.
"Indian Penal Code (IPC), 1860, Section 500",Cybercrime,"Punishment for defamation, which can extend to online defamation."
"Indian Penal Code (IPC), 1860, Section 509",Cybercrime,"Word, gesture or act intended to insult the modesty of a woman, applicable to cyber harassment."
"Companies Act, 2013, Section 447 ",Cybercrime," Punishment for fraud, which can include cyber frauds"
"Credit Information Companies (Regulation) Act, 2005, Section 43A",Cybercrime,Compensation for failure to protect data.
"Protection of Children from Sexual Offences (POCSO) Act, 2012",Cybercrime,Applicable Sections: Offenses involving the use of digital or electronic means to exploit children.
"The National Cyber Security Policy, 2013",Cybercrime,"Aims to protect information and information infrastructure in cyberspace, build capabilities to prevent and respond to cyber threats, and minimize damage from cyber incidents through a combination of institutional structures, people, processes, technology, and cooperation."
"The Indian Evidence Act, 1872, Section 65B",Cybercrime,Admissibility of electronic records as evidence in courts.
"The Indian Contract Act, 1872",Cybercrime,"Addresses the legality and enforceability of electronic contracts and agreements, making e-contracts legally valid."
"The Banking Regulation Act, 1949, Section 11",Cybercrime,RBI’s guidelines on secure banking practices and addressing cyber frauds.
"The Payment and Settlement Systems Act, 2007",Cybercrime,Regulates and supervises payment systems in India and mandates safety and security measures for electronic transactions.
"The Consumer Protection Act, 2019",Cybercrime,Covers unfair trade practices and protects consumers from cyber frauds and online scams. The Central Consumer Protection Authority (CCPA) can take action against misleading advertisements and unfair trade practices in e-commerce.
"The Credit Information Companies (Regulation) Act, 2005",Cybercrime,"Regulates credit information companies and aims to protect the data they collect and process, including digital data."
"The Public Financial Institutions (Obligation as to Fidelity and Secrecy) Act, 1983, Section 2",Cybercrime,"Ensures the confidentiality and secrecy of information handled by financial institutions, including digital data."
"The Aadhaar (Targeted Delivery of Financial and Other Subsidies, Benefits and Services) Act, 2016, Section 29",Cybercrime,Prohibits the sharing of core biometric information and ensures data protection related to Aadhaar numbers.
"The Draft Digital Personal Data Protection Bill, 2022 (Pending)",Cybercrime,"Another iteration focusing on the protection of personal data, specifying duties of data fiduciaries, and rights of data principals."
"The Payment of Bonus Act, 1965",Cybercrime,Cyber compliance in bonus management.
"The Employment Exchanges (Compulsory Notification of Vacancies) Act, 1959",Cybercrime,Cyber compliance in employment exchanges.
"The Factories Act, 1948",Cybercrime,Cyber aspects in factory management.
"The Trade Unions Act, 1926",Cybercrime,Cyber aspects in trade union management.
"The Motor Transport Workers Act, 1961",Cybercrime,Cyber aspects in transport worker management.
"The Sales Promotion Employees (Conditions of Service) Act, 1976",Cybercrime,Cyber compliance in sales promotion.
"The Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",Cybercrime,Cyber aspects in harassment prevention.
"The Inter-State Migrant Workmen (Regulation of Employment and Conditions of Service) Act, 1979",Cybercrime,Cyber aspects in migrant worker management.
"The Industrial Employment (Standing Orders) Act, 1946",Cybercrime,Cyber regulations in industrial employment.
"The Employees' State Insurance Act, 1948",Cybercrime,Cyber compliance in ESI management.
"he Employees' Provident Funds and Miscellaneous Provisions Act, 1952",Cybercrime,Cyber aspects in EPF management.
"The Contract Labour (Regulation and Abolition) Act, 1970",Cybercrime,Cyber compliance in contract labor management.
"The Apprentices Act, 1961",Cybercrime,Cyber aspects in apprenticeship management.
"The Payment of Wages Act, 1936",Cybercrime,Cyber payroll systems.
"The Payment of Gratuity Act, 1972",Cybercrime,Cyber compliance in gratuity management.
"The Maternity Benefit Act, 1961",Cybercrime,Cyber aspects in employee management.
"The Foreign Contribution (Regulation) Act, 2010",Cybercrime,Cyber compliance for NGOs.
"The Co-operative Societies Act, 1912",Cybercrime,Cyber aspects in co-operative societies.
"The Societies Registration Act, 1860",Cybercrime,Cyber compliance for societies.
"The Chit Funds Act, 1982",Cybercrime,Online chit funds and cyber regulations.
"The Foreign Exchange Management Act (FEMA), 1999",Cybercrime,Cyber transactions and forex regulations.
"The Prevention of Money Laundering Act, 2002",Cybercrime,Cyber laundering.
"The Warehousing (Development and Regulation) Act, 2007",Cybercrime,Cyber aspects of warehousing and logistics.
"The Special Economic Zones Act, 2005",Cybercrime,Cyber regulations in SEZs.
"The Customs Act, 1962",Cybercrime,Regulation of electronic goods and cyber technology imports/exports.
"The Copyright Act, 1957",Cybercrime,Digital rights management and cyber infringement.
"The Patents Act, 1970",Cybercrime,Software patents and cyber technology innovations.
"The Trade Marks Act, 1999",Cybercrime,Cyber squatting and domain name disputes.
"The Industrial Disputes Act, 1947",Cybercrime,Related to cyber security in the context of industrial relations.
Central Vigilance Commission (CVC) Guidelines on Cyber Security,Cybercrime,"To establish a framework for preventing, detecting, and responding to cyber security incidents.To safeguard government and public sector data against cyber threats."
"Indian Telegraph Act, 1885",Cybercrime,"To establish the legal framework for the establishment, maintenance, and operation of telecommunication systems and services."
Unified Payments Interface (UPI) Security Guidelines,Cybercrime,"To safeguard UPI transactions and ensure the secure handling of financial data. To establish a secure framework for UPI service providers, including banks and third-party apps."
National Payments Corporation of India (NPCI) Guidelines,Cybercrime,"To ensure the safety, security, and efficiency of digital payment systems in India. To establish standardized procedures for the operation of various payment systems managed by NPCI."
Ministry of Electronics and Information Technology (MeitY) Guidelines,Cybercrime,To promote the growth and development of the electronics and IT sectors. To enhance digital literacy and e-governance across India.
"Payment and Settlement Systems Act, 2007",Cybercrime,To regulate and supervise the payment and settlement systems in India. To facilitate the development and maintenance of secure and efficient payment systems.
"Personal Data Protection Bill (PDPB), 2019 (Pending)",Cybercrime,To protect the privacy of individuals concerning their personal data. To create accountability and transparency in data handling by organizations.
"Draft Digital Personal Data Protection Bill, 2022 (Pending)",Cybercrime,To create a framework for the processing of digital personal data in a manner that recognizes both the rights of individuals and the need for data-driven innovation.
"Companies Act, 2013",Civil - Corporate,"Governs the incorporation, management, and dissolution of companies in India."
"Limited Liability Partnership (LLP) Act, 2008",Civil - Corporate,"Regulates the formation and functioning of LLPs, providing a hybrid structure combining features of both partnerships and companies."
"Insolvency and Bankruptcy Code, 2016",Civil - Corporate,"Provides a framework for the resolution of insolvency and bankruptcy for individuals, partnerships, and companies."
"Securities and Exchange Board of India (SEBI) Act, 1992",Civil - Corporate,Establishes SEBI and regulates the securities market to protect investors and promote fair trade.
"Foreign Exchange Management Act (FEMA), 1999",Civil - Corporate,"Manages foreign exchange transactions, aiming to facilitate external trade and payments."
"Competition Act, 2002",Civil - Corporate,"Promotes and sustains competition in markets, preventing anti-competitive practices."
"Depositories Act, 1996",Civil - Corporate,Provides for the establishment of depositories to facilitate the electronic transfer of securities.
"Securities Contracts (Regulation) Act, 1956",Civil - Corporate,Regulates the trading of securities and the functioning of stock exchanges in India.
"Indian Partnership Act, 1932",Civil - Corporate,"Governs the formation, operation, and dissolution of partnerships."
"Micro, Small and Medium Enterprises Development (MSMED) Act, 2006",Civil - Corporate,"Facilitates the promotion, development, and competitiveness of MSMEs."
"The Banking Regulation Act, 1949",Civil - Corporate,Regulates banking companies and provides a framework for the supervision and regulation of banks.
"The Insurance Act, 1938",Civil - Corporate,Governs the regulation and supervision of insurance companies and policies in India.
"Indian Contract Act, 1872",Civil - Commercial,"Governs contracts and agreements, outlining the formation, performance, and enforceability of contracts."
"Sale of Goods Act, 1930",Civil - Commercial,Regulates the sale of goods and transactions related to movable property.
"Negotiable Instruments Act, 1881",Civil - Commercial,"Governs negotiable instruments like cheques, promissory notes, and bills of exchange."
"Consumer Protection Act, 2019",Civil - Commercial,Protects the interests of consumers and establishes authorities for timely and effective administration of consumer disputes.
"Arbitration and Conciliation Act, 1996",Civil - Commercial,"Provides a framework for the arbitration and conciliation of disputes, promoting alternative dispute resolution mechanisms."
"Indian Evidence Act, 1872",Civil - Commercial,Sets out the rules and standards for the admissibility of evidence in legal proceedings.
"The Competition Act, 2002",Civil - Commercial,Prevents anti-competitive practices and promotes fair competition in the market.
"Goods and Services Tax (GST) Act, 2017",Civil - Commercial,"Unifies multiple indirect taxes into a single tax, simplifying the tax structure for goods and services."
"The Customs Act, 1962",Civil - Commercial,"Regulates the import and export of goods, including customs duties and procedures."
"The Patents Act, 1970",Civil - Commercial,"Governs the grant and regulation of patents, protecting intellectual property rights."
"The Trademarks Act, 1999",Civil - Commercial,"Regulates trademark registration and protection, preventing the misuse of brand names and logos."
"The Designs Act, 2000",Civil - Commercial,"Provides protection for industrial designs, ensuring exclusive rights to use and commercialize designs."
"The Copyright Act, 1957",Civil - Commercial,"Protects the rights of creators of literary, artistic, and musical works, along with other intellectual properties."
"The Indian Stamp Act, 1899",Civil - Commercial,Regulates the imposition of stamp duties on documents to ensure their legality and enforceability.
"The Transfer of Property Act, 1882",Civil - Commercial,"Governs the transfer of property and provides legal framework for sales, mortgages, leases, and gifts of property."
"The Specific Relief Act, 1963",Civil - Commercial,Provides remedies for the enforcement of individual civil rights through specific relief.
"The Limitation Act, 1963",Civil - Commercial,Sets time limits within which legal actions must be initiated to enforce rights.
"The Indian Trusts Act, 1882",Civil - Commercial,Governs the creation and administration of private trusts and the duties and liabilities of trustees.
"The Multi-State Co-operative Societies Act, 2002",Civil - Commercial,"Regulates co-operative societies operating in more than one state, ensuring their smooth functioning."
"The Chartered Accountants Act, 1949",Civil - Corporate,Regulates the profession of chartered accountants in India.
"The Cost and Works Accountants Act, 1959",Civil - Corporate,Governs the profession of cost and management accountancy.
"The Company Secretaries Act, 1980",Civil - Corporate,Regulates the profession of company secretaries in India.
"The Industrial Disputes Act, 1947",Civil - Corporate,Provides mechanisms for the investigation and settlement of industrial disputes.
"The Factories Act, 1948",Civil - Corporate,Governs labor welfare and safety in factories.
"The Employees’ Provident Funds and Miscellaneous Provisions Act, 1952",Civil - Corporate,"Provides for the institution of provident funds, pension funds, and deposit-linked insurance funds for employees."
"The Payment of Gratuity Act, 1972",Civil - Corporate,Provides a scheme for the payment of gratuity to employees engaged in certain industries.
"The Minimum Wages Act, 1948",Civil - Corporate,Sets minimum wages for various employment categories to ensure fair remuneration.
"The Payment of Bonus Act, 1965",Civil - Corporate,Provides for the payment of bonuses to employees in certain establishments.
"The Transfer of Property Act, 1882",Civil- Commercial,"Governs the transfer of property by sale, mortgage, lease, gift, and exchange."
"The Consumer Protection Act, 2019",Civil- Commercial,Provides for the protection of consumer rights and the establishment of consumer councils and authorities for resolving consumer disputes.
"The Real Estate (Regulation and Development) Act, 2016 (RERA)",Civil- Commercial,"Regulates the real estate sector, ensuring transparency, accountability, and efficiency in property transactions."
"The Warehousing (Development and Regulation) Act, 2007",Civil- Commercial,Regulates warehouses and ensures the security of agricultural produce and other goods stored in warehouses.
"The Securitisation and Reconstruction of Financial Assets and Enforcement of Security Interest (SARFAESI) Act, 2002",Civil- Commercial,Allows banks and financial institutions to auction residential or commercial properties to recover loans.
"The Foreign Contribution (Regulation) Act, 2010 (FCRA)",Civil- Commercial,Regulates the acceptance and utilization of foreign contributions by individuals and organizations.
"The Public Liability Insurance Act, 1991",Civil- Commercial,Provides for public liability insurance to provide immediate relief to persons affected by accidents involving hazardous substances.
"The Environmental Protection Act, 1986",Civil- Commercial,Provides for the protection and improvement of the environment and for matters connected therewith.
"The Water (Prevention and Control of Pollution) Act, 1974",Civil- Commercial,Provides for the prevention and control of water pollution and the maintaining or restoring of wholesomeness of water.
"The Air (Prevention and Control of Pollution) Act, 1981",Civil- Commercial,"Provides for the prevention, control, and abatement of air pollution."
"The Biological Diversity Act, 2002",Civil- Commercial,"Provides for the conservation of biological diversity, sustainable use of its components, and fair sharing of benefits arising from the use of genetic resources."
"The Geographical Indications of Goods (Registration and Protection) Act, 1999",Civil- Commercial,Provides for the registration and protection of geographical indications relating to goods.
"The Protection of Plant Varieties and Farmers’ Rights Act, 2001",Civil- Commercial,Provides for the protection of plant varieties and the rights of farmers and plant breeders.
"The Banking Regulation Act, 1949",Civil- Commercial,Provides a framework for the regulation and supervision of banking companies in India.
"The Insurance Regulatory and Development Authority (IRDA) Act, 1999",Civil- Commercial,Establishes the IRDA to regulate and promote the insurance industry in India.
"The Societies Registration Act, 1860",Civil- Commercial,"Provides for the registration of literary, scientific, and charitable societies."
"The Multi-State Cooperative Societies Act, 2002",Civil- Commercial,Regulates cooperative societies operating in more than one state.
"The Securities Laws (Amendment) Act, 2014",Civil- Commercial,Amends various securities laws to strengthen the regulatory framework for securities markets.
"The Foreign Trade (Development and Regulation) Act, 1992",Civil- Commercial,Provides for the development and regulation of foreign trade by facilitating imports and increasing exports.
"The Reserve Bank of India Act, 1934",Civil- Commercial,Establishes the Reserve Bank of India (RBI) as the central bank and outlines its functions and powers.
The Indian Torts Law,Tort,"Tort law in India is primarily based on English common law principles. There is no consolidated statute for torts in India, but various judicial precedents and common law principles govern the area."
"The Limitation Act, 1963",Tort,Prescribes the time limits within which tort claims must be brought to court.
"The Consumer Protection Act, 2019",Tort,"Provides remedies for consumers against unfair trade practices, defective goods, and deficient services."
"The Motor Vehicles Act, 1988",Tort,"Governs liability and compensation for motor vehicle accidents, including third-party insurance."
"The Environment (Protection) Act, 1986",Tort,Contains provisions for environmental protection and addresses civil liability for environmental harm.
"The Specific Relief Act, 1963",Tort,Provides remedies for specific performance and injunctions in cases of breach of civil rights.
"The Fatal Accidents Act, 1855",Tort,Provides compensation to families for wrongful death caused by negligence or wrongful act.
"The Workmen’s Compensation Act, 1923",Tort,Provides for compensation to workers for injuries arising out of and in the course of employment.
"The Atomic Energy Act, 1962",Tort,Regulates liability for nuclear damage and provides compensation for victims of nuclear accidents.
"The Carriers Act, 1865",Tort,Establishes the liability of common carriers for loss or damage to goods during transportation.
"The Railways Act, 1989",Tort,"Governs the liability of the Indian Railways for loss, damage, or injury to passengers and goods."
"The Code of Civil Procedure (CPC), 1908",Tort,"Provides the procedural framework for filing and adjudicating civil suits, including tort claims."
"The Indian Evidence Act, 1872",Tort,"Governs the admissibility and evaluation of evidence in civil and criminal cases, including tort actions."
"The Indian Succession Act, 1925",Civil ,Governs the succession and inheritance of property for non-Hindus.
"The Guardians and Wards Act, 1890",Civil ,Governs the appointment and duties of guardians of minors.
"The Easements Act, 1882",Civil ,Governs the rights of individuals to use and enjoy the property of others for specific purposes.
"The Depositories Act, 1996",Civil - Finance ,Provides for the establishment of depositories to facilitate the electronic transfer of securities.
"The Securities Transaction Tax (STT) Act, 2004",Civil - Finance ,Imposes a tax on transactions in securities.
"The Life Insurance Corporation Act, 1956",Civil - Insurance,Establishes the Life Insurance Corporation (LIC) of India.
"The Insurance Regulatory and Development Authority (IRDA) Act, 1999",Civil - Insurance,Establishes the IRDA to regulate and promote the insurance industry.
"The General Insurance Business (Nationalisation) Act, 1972",Civil - Insurance,Nationalizes the general insurance business in India.
"The Foreign Exchange Management Act (FEMA), 1999",Civil - Foreign Exchange and Trade ,Governs foreign exchange transactions and aims to facilitate external trade and payments.
"The Foreign Contribution (Regulation) Act, 2010",Civil - Foreign Exchange and Trade ,Regulates the acceptance and utilization of foreign contributions and hospitality by individuals and organizations.
"The Export-Import Bank of India Act, 1981",Civil - Foreign Exchange and Trade ,Establishes the Export-Import Bank of India and outlines its functions and powers.
"The Special Economic Zones (SEZ) Act, 2005",Civil - Foreign Exchange and Trade ,"Provides for the establishment, development, and management of Special Economic Zones for promoting exports."
"The Wealth Tax Act, 1957 (repealed in 2015)",Civil - Taxation,Earlier governed the levy of wealth tax on individuals and entities.
"The Central Excise Act, 1944",Civil - Taxation,Governs the levy and collection of excise duties on goods manufactured in India.
The Finance Act (various years),Civil - Taxation,"Enacts fiscal policies, tax rates, and amendments to other financial statutes annually."
"The Industrial Disputes Act, 1947",Civil - Economic and Industrial,Provides mechanisms for the investigation and settlement of industrial disputes.
"The Industries (Development and Regulation) Act, 1951",Civil - Economic and Industrial,Provides for the development and regulation of certain industries.
"The Micro, Small and Medium Enterprises Development (MSMED) Act, 2006",Civil - Economic and Industrial,"Provides for the promotion and development of micro, small, and medium enterprises."
"The Factories Act, 1948",Civil - Economic and Industrial,Governs labor welfare and safety in factories.
"The Insolvency and Bankruptcy Code (IBC), 2016",Civil - Insolvency and Bankruptcy ,"Provides a consolidated framework for the insolvency resolution of corporate persons, partnership firms, and individuals."
"The Patents Act, 1970",Patent,"The primary legislation governing patents in India, outlining procedures for filing and granting patents, rights conferred, and addressing patent infringement."
"The Patents (Amendment) Act, 1999",Patent,"Aligned Indian patent law with the TRIPS agreement, allowing product patents in pharmaceuticals and agricultural chemicals, and introduced the mailbox application system."
"The Patents (Amendment) Act, 2002",Patent,"Further compliance with TRIPS, introducing EMRs, modifying terms of patentability, and strengthening compulsory licensing provisions."
"The Patents (Amendment) Act, 2005",Patent,"Introduced product patents for all technologies, abolished EMRs, and introduced pre-grant opposition mechanisms."
"The Patents (Amendment) Rules, 2006",Patent,"Streamlined patent application and examination processes, introduced electronic filing, and expedited examination."
"The Patents (Amendment) Rules, 2016",Patent,"Introduced expedited examination for startups, revised fee structure, and recognized registered patent agents."
"The Patents (Amendment) Rules, 2019",Patent,Expanded expedited examination to more applicant categories and further streamlined the patent application process.
"The Patents (Amendment) Rules, 2020",Patent,"Introduced changes to facilitate faster processing of patent applications, further simplified procedures, and included provisions for electronic communication."
"The Patents (Amendment) Rules, 2021",Patent,"Made provisions for the filing of priority documents electronically, and streamlined the process for patent opposition and revocation."
The Patent Prosecution Highway (PPH) Program,Patent,A bilateral agreement between the Indian Patent Office and other international patent offices to expedite the examination of patent applications.
"The Designs Act, 2000",Patent,"Provides protection for industrial designs, detailing the registration process and the rights conferred by registration."
"The Trademarks Act, 1999",Patent,"Governs the registration and protection of trademarks in India, outlining procedures for registration, infringement, and remedies."
"The Copyright Act, 1957",Patent,"Protects the rights of creators of literary, artistic, and musical works, detailing the rights conferred and remedies for infringement."
"The Geographical Indications of Goods (Registration and Protection) Act, 1999",Patent,"Provides for the registration and protection of geographical indications, which identify goods as originating from a specific region."
"The Semiconductor Integrated Circuits Layout-Design Act, 2000",Patent,"Protects the layout designs of semiconductor integrated circuits, outlining the registration process and rights conferred."
"Paris Convention for the Protection of Industrial Property, 1883",Patent,"An international treaty to which India is a signatory, providing for the protection of industrial property, including patents."
"Patent Cooperation Treaty (PCT), 1970",Patent,"An international treaty that simplifies the process of filing patent applications in multiple countries, to which India is a member."
"Budapest Treaty on the International Recognition of the Deposit of Microorganisms for the Purposes of Patent Procedure, 1977",Patent,"Provides for the deposit of microorganisms in an international depository authority, simplifying patent procedures for biotechnological inventions."
"TRIPS Agreement (Trade-Related Aspects of Intellectual Property Rights), 1995",Patent,"An international agreement administered by the WTO, setting minimum standards for intellectual property regulation, including patents, to which India is a signatory."
"The Biological Diversity Act, 2002",Patent,"Regulates access to biological resources and associated knowledge to protect biodiversity and ensure sustainable use, impacting patents on biotechnological inventions."
"The Protection of Plant Varieties and Farmers’ Rights Act, 2001",Patent,"Provides for the protection of plant varieties, the rights of farmers, and the establishment of an effective system for intellectual property rights in plant breeding."
"The Competition Act, 2002",Patent,"Aims to prevent practices that harm competition in India, including anti-competitive agreements and abuse of dominant position, which can intersect with patent law."
"The Trade Marks (Amendment) Act, 2010",Patent,"Introduced changes to the Trademarks Act, 1999, including provisions for the protection of well-known trademarks and enhanced enforcement mechanisms."
"The Geographical Indications (Amendment) Act, 2020",Patent,"Made amendments to the Geographical Indications of Goods (Registration and Protection) Act, 1999, to streamline procedures and enhance protection."
The Traditional Knowledge Digital Library (TKDL),Patent,A database documenting traditional knowledge related to medicinal plants and formulations used in Indian systems of medicine to prevent biopiracy and inform patent examiners globally.
"The New Drugs and Clinical Trials Rules, 2019",Patent,"Regulates the approval of new drugs and clinical trials in India, impacting patents related to pharmaceuticals and medical innovations."
"The Hague Agreement Concerning the International Registration of Industrial Designs, 1925",Patent,"An international treaty providing a mechanism for obtaining industrial design protection in multiple countries through a single application, to which India is a party."
"The Madrid Protocol, 1989",Patent,"An international system for the registration of trademarks, simplifying the process for trademark owners to seek protection in multiple countries, to which India is a signatory."
"The Berne Convention for the Protection of Literary and Artistic Works, 1886",Patent,"An international agreement providing copyright protection to literary and artistic works, to which India is a party."
"The WIPO Performances and Phonograms Treaty (WPPT), 1996",Patent,"Provides international protection for the rights of performers and producers of phonograms, to which India is a signatory."
"The WIPO Copyright Treaty (WCT), 1996",Patent,"An international treaty providing additional copyright protection in the digital environment, to which India is a party."
"The Inventions and Designs Act, 1888",Patent,"An early legislation providing for the protection of inventions and industrial designs, which laid the foundation for modern intellectual property laws in India."
"The Drugs and Cosmetics Act, 1940",Patent,"Regulates the import, manufacture, distribution, and sale of drugs and cosmetics, impacting patents related to pharmaceuticals."
"The Information Technology Act, 2000",Patent,"Provides legal recognition for electronic transactions and addresses issues related to cybersecurity and digital signatures, intersecting with intellectual property rights in the digital realm."
"The Indian Penal Code, 1860 (Sections 104-120)",Patent,"Includes provisions for criminal offenses related to the infringement of intellectual property rights, such as counterfeiting and piracy."
